"organism","metabolite","p_value","fdr_adjusted_p_value"
"Citrobacter freundii","243.1355653",0.0381861498579481,0.338205580611299
"Citrobacter freundii","488.2755655",0.0186328822077505,0.338205580611299
"Citrobacter freundii","488.2756869",0.0215491900787265,0.338205580611299
"Citrobacter freundii","649.3164592",0.029995385837113,0.338205580611299
"Citrobacter freundii","595.2926051",0.0361985042373095,0.338205580611299
"Citrobacter freundii","706.436519",0.0457227716734304,0.338205580611299
"Citrobacter freundii","507.2413878",0.0231886316679061,0.338205580611299
"Citrobacter freundii","221.0127483",0.0336145676037363,0.338205580611299
"Citrobacter freundii","247.1274225",0.0446952331937851,0.338205580611299
"Citrobacter freundii","494.3244336",0.0166356686541262,0.338205580611299
"Citrobacter freundii","350.1698301",0.0230987234501916,0.338205580611299
"Citrobacter freundii","261.1312529",0.0239520499424287,0.338205580611299
"Citrobacter freundii","575.5025398",0.0272720805821912,0.338205580611299
"Citrobacter freundii","549.2586929",0.0188316491637758,0.338205580611299
"Citrobacter freundii","578.2775174",0.0253273051661723,0.338205580611299
"Citrobacter freundii","283.0747909",0.0344316322535387,0.338205580611299
"Citrobacter freundii","393.175573",0.0463307884914275,0.338205580611299
"Citrobacter freundii","550.2457874",0.0293217640988492,0.338205580611299
"Citrobacter freundii","489.1932956",0.0218785452365836,0.338205580611299
"Citrobacter freundii","485.2659742",0.0195158156973513,0.338205580611299
"Citrobacter freundii","459.1223492",0.0319780153930174,0.338205580611299
"Citrobacter freundii","461.1994334",0.0181936544047926,0.338205580611299
"Citrobacter freundii","445.2335719",0.0167276623491801,0.338205580611299
"Citrobacter freundii","564.261998",0.0467608924837107,0.338205580611299
"Citrobacter freundii","503.2095276",0.0384353800659717,0.338205580611299
"Citrobacter freundii","705.3784239",0.029887753197273,0.338205580611299
"Citrobacter freundii","297.2785703",0.0201581046898924,0.338205580611299
"Citrobacter freundii","480.3086287",0.0358805606435733,0.338205580611299
"Citrobacter freundii","248.1323776",0.0377862512556553,0.338205580611299
"Citrobacter freundii","339.2898221",0.0380738625015725,0.338205580611299
"Citrobacter freundii","361.1754051",0.0307021895945274,0.338205580611299
"Citrobacter freundii","499.2554918",0.0464642416269702,0.338205580611299
"Citrobacter freundii","349.0613772",0.0291773707846236,0.338205580611299
"Citrobacter freundii","332.18243",0.02963215011121,0.338205580611299
"Citrobacter freundii","403.1626463",0.0206531988871416,0.338205580611299
"Citrobacter freundii","485.2660925",0.0232657749006624,0.338205580611299
"Citrobacter freundii","489.1930581",0.0295290716070409,0.338205580611299
"Citrobacter freundii","407.1902104",0.0448316513801432,0.338205580611299
"Citrobacter freundii","550.2458185",0.0391413982195493,0.338205580611299
"Citrobacter freundii","312.2899522",0.0231920347589152,0.338205580611299
